{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{:yyyy-MM-dd HH:mm:ss} | --- Session Started ---
{:yyyy-MM-dd HH:mm:ss} | The application logger instance was created.
{:yyyy-MM-dd HH:mm:ss} | Starting main process loop...
{:yyyy-MM-dd HH:mm:ss} | Current formatted time using function: {:yyyy-MM-dd HH:mm:ss}
{: HH:mm:ss} | --- Session Started ---
{: HH:mm:ss} | The application logger instance was created.
{: HH:mm:ss} | Starting main process loop...
{: HH:mm:ss} | Current formatted time using function: {: HH:mm:ss}
